車種車次,全票價格,出發時間,抵達時間,行駛時間
區間 2133,$ 17,05:15,05:34,18 分
區間 1117,$ 17,05:37,05:56,18 分
區間 1121,$ 17,05:59,06:18,18 分
區間 2143,$ 17,06:21,06:42,20 分
區間 1127,$ 17,06:47,07:06,18 分
區間 1129,$ 17,07:02,07:24,21 分
區間 2153,$ 17,07:16,07:36,19 分
區間 1135,$ 17,07:28,07:47,18 分
區間 1137,$ 17,07:48,08:08,19 分
區間 1141,$ 17,08:00,08:20,19 分
區間 2163,$ 17,08:23,08:43,19 分
區間 1147,$ 17,08:43,09:07,23 分
區間 1151,$ 17,08:56,09:16,19 分
區間 2173,$ 17,09:25,09:44,18 分
區間 1157,$ 17,09:42,10:01,18 分
區間 1161,$ 17,10:04,10:23,18 分
區間 2183,$ 17,10:23,10:44,20 分
區間 1167,$ 17,10:49,11:08,18 分
區間 2193,$ 17,11:19,11:40,20 分
區間 1181,$ 17,11:47,12:06,18 分
區間 2203,$ 17,12:04,12:23,18 分
區間 1191,$ 17,12:29,12:49,19 分
區間 1187,$ 17,12:53,13:12,18 分
區間 2213,$ 17,13:08,13:28,19 分
區間 1197,$ 17,13:44,14:03,18 分
區間 1201,$ 17,14:05,14:25,19 分
區間 2223,$ 17,14:25,14:44,18 分
區間 1207,$ 17,14:45,15:05,19 分
區間 1211,$ 17,14:59,15:18,18 分
區間 1217,$ 17,15:39,15:58,18 分
區間 1221,$ 17,16:04,16:24,19 分
區間 1227,$ 17,16:31,16:51,19 分
區間 1231,$ 17,16:44,17:05,20 分
區間 2253,$ 17,17:11,17:31,19 分
區間 1235,$ 17,17:22,17:41,18 分
區間 1237,$ 17,17:44,18:13,28 分
區間 2263,$ 17,18:06,18:26,19 分
區間 1241,$ 17,18:20,18:40,19 分
區間 1247,$ 17,18:40,19:00,19 分
區間 1251,$ 17,18:53,19:17,23 分
區間 1253,$ 17,19:18,19:43,24 分
區間 1257,$ 17,19:44,20:03,18 分
區間 1261,$ 17,20:03,20:23,19 分
區間 1263,$ 17,20:20,20:42,21 分
區間 1271,$ 17,20:41,21:01,19 分
區間 1267,$ 17,20:59,21:23,23 分
區間 1273,$ 17,21:28,21:49,20 分
區間 1281,$ 17,21:51,22:16,24 分
區間 1285,$ 17,22:24,22:44,19 分
區間 1287,$ 17,22:47,23:07,19 分
