車種車次,全票價格,出發時間,抵達時間,行駛時間
區間 2133,$ 15,05:19,05:34,15 分
區間 1117,$ 15,05:41,05:56,15 分
區間 1121,$ 15,06:03,06:18,15 分
區間 4103,$ 15,06:12,06:27,15 分
自強 105,$ 23,06:20,06:35,15 分
區間 2143,$ 15,06:26,06:42,16 分
區間 4107,$ 15,06:40,06:55,15 分
區間快 2007,$ 15,06:44,07:00,16 分
區間 1127,$ 15,06:51,07:06,15 分
區間 1131,$ 15,06:57,07:12,15 分
區間 1129,$ 15,07:08,07:24,15 分
區間快 4003,$ 15,07:16,07:29,13 分
區間 2153,$ 15,07:20,07:36,16 分
區間 4111,$ 15,07:27,07:42,15 分
區間 1135,$ 15,07:32,07:47,15 分
區間 1137,$ 15,07:52,08:08,16 分
區間 4113,$ 15,07:59,08:14,15 分
區間 1141,$ 15,08:04,08:20,16 分
區間快 4007,$ 15,08:11,08:26,15 分
自強 115,$ 23,08:23,08:37,14 分
區間 2163,$ 15,08:27,08:43,16 分
區間 4119,$ 15,08:32,08:48,16 分
區間 1147,$ 15,08:47,09:07,20 分
區間快 4013,$ 15,08:52,09:02,10 分
區間 1151,$ 15,09:00,09:16,16 分
區間 4123,$ 15,09:07,09:22,15 分
自強 117,$ 23,09:21,09:35,14 分
區間 2173,$ 15,09:29,09:44,15 分
區間 1157,$ 15,09:46,10:01,15 分
區間 4131,$ 15,09:51,10:07,16 分
區間 1161,$ 15,10:08,10:23,15 分
區間快 4017,$ 15,10:15,10:29,14 分
區間 2183,$ 15,10:28,10:44,16 分
區間 4135,$ 15,10:36,10:58,22 分
區間 1167,$ 15,10:53,11:08,15 分
區間 4137,$ 15,11:00,11:16,16 分
區間 1171,$ 15,11:13,11:28,15 分
區間 2193,$ 15,11:23,11:40,17 分
區間 1177,$ 15,11:45,12:00,15 分
區間 1181,$ 15,11:51,12:06,15 分
區間 2203,$ 15,12:08,12:23,15 分
區間 4151,$ 15,12:27,12:42,15 分
區間 1191,$ 15,12:33,12:49,16 分
區間快 4021,$ 15,12:44,12:57,13 分
區間 1187,$ 15,12:57,13:12,15 分
區間 2213,$ 15,13:12,13:28,16 分
自強 129,$ 23,13:22,13:36,14 分
區間 4171,$ 15,13:26,13:42,16 分
區間 1197,$ 15,13:48,14:03,15 分
區間快 4025,$ 15,13:56,14:09,13 分
區間 1201,$ 15,14:10,14:25,15 分
區間 2223,$ 15,14:29,14:44,15 分
區間 4173,$ 15,14:33,14:55,22 分
區間 1207,$ 15,14:49,15:05,16 分
區間 4177,$ 15,14:54,15:10,16 分
區間 1211,$ 15,15:03,15:18,15 分
區間 2233,$ 15,15:09,15:33,24 分
區間 1217,$ 15,15:43,15:58,15 分
區間 4183,$ 15,15:52,16:12,20 分
區間 1221,$ 15,16:08,16:24,16 分
區間 2243,$ 15,16:24,16:43,19 分
區間 1227,$ 15,16:35,16:51,16 分
區間 1231,$ 15,16:49,17:05,16 分
區間 4191,$ 15,16:57,17:13,16 分
區間 2253,$ 15,17:15,17:31,16 分
區間 1235,$ 15,17:26,17:41,15 分
區間 4193,$ 15,17:39,17:55,16 分
區間 1237,$ 15,17:50,18:13,23 分
區間 2263,$ 15,18:10,18:26,16 分
區間 4197,$ 15,18:16,18:31,15 分
自強 149,$ 23,18:20,18:35,15 分
區間 1241,$ 15,18:25,18:40,15 分
區間 1247,$ 15,18:44,19:00,16 分
區間 1251,$ 15,18:57,19:17,20 分
區間 1253,$ 15,19:22,19:43,21 分
區間 4209,$ 15,19:34,19:49,15 分
區間 1257,$ 15,19:48,20:03,15 分
區間 4211,$ 15,19:52,20:08,16 分
區間 1261,$ 15,20:07,20:23,16 分
區間 4215,$ 15,20:16,20:31,15 分
區間 1263,$ 15,20:24,20:42,18 分
區間 4221,$ 15,20:30,20:51,21 分
自強 235,$ 22,20:36,20:46,10 分
區間 1271,$ 15,20:45,21:01,16 分
區間 1267,$ 15,21:03,21:23,20 分
區間 4225,$ 15,21:18,21:38,20 分
區間 1273,$ 15,21:33,21:49,16 分
區間 4235,$ 15,21:46,22:01,15 分
區間 1281,$ 15,21:55,22:16,21 分
區間 1285,$ 15,22:28,22:44,16 分
區間 4241,$ 15,22:37,22:53,16 分
區間 1287,$ 15,22:51,23:07,16 分
